,indice_tiempo,Salarios no registrados,Salarios general,Salarios registrados,Salarios no registrados(Var %),Salarios general(Var %),Salarios registrados(Var %),IPC general,IPC general(Var %)
0,2016-01-01,,,78.38,,,,,
1,2016-02-01,,,79.42,,,0.0132686909926003,,
2,2016-03-01,,,81.92,,,0.0314782170737848,,
3,2016-04-01,,,85.3,,,0.041259765625,85.5254,
4,2016-05-01,,,88.13,,,0.0331770222743259,89.1118,0.0419337413212916
5,2016-06-01,,,89.83,,,0.019289685691592,91.8528,0.0307591138322871
6,2016-07-01,,,93.84,,,0.0446398753200489,93.7328,0.0204675306577479
7,2016-08-01,,,96.42,,,0.0274936061381074,93.9221,0.0020195705238721
8,2016-09-01,,,97.69,,,0.0131715411740302,95.0014,0.0114914381173334
9,2016-10-01,100.0,100.0,100.0,,,0.0236462278636504,97.2428,0.0235933365192513
10,2016-11-01,100.73,101.41,101.58,0.0073,0.0141,0.0158,98.8166,0.0161842316346298
11,2016-12-01,103.2,102.79,102.69,0.0245209967239155,0.013608125431417,0.0109273479031304,100.0,0.0119757206785096
12,2017-01-01,102.0,104.38,104.98,-0.0116279069767442,0.0154684307812043,0.0223001265946052,101.313,0.01313
13,2017-02-01,104.94,105.76,105.97,0.0288235294117646,0.0132209235485725,0.0094303676890836,103.8085,0.0246315872592854
14,2017-03-01,110.08,108.82,108.5,0.0489803697350867,0.0289334341906202,0.0238746815136359,106.2627,0.0236416093094495
15,2017-04-01,114.61,112.63,112.14,0.0411518895348836,0.0350119463333946,0.0335483870967741,109.0613,0.0263366167055796
16,2017-05-01,115.79,114.43,114.09,0.0102957857080534,0.0159815324513896,0.0173889780631353,110.4607,0.0128313159663417
17,2017-06-01,116.24,116.45,116.51,0.0038863459711546,0.0176527134492703,0.0212113243930229,111.9943,0.0138836708440195
18,2017-07-01,120.74,121.1,121.19,0.0387130075705437,0.0399313009875481,0.0401682259033557,113.9199,0.0171937321810127
19,2017-08-01,126.06,123.95,123.43,0.0440616200099388,0.0235342691990092,0.0184833732156119,115.6031,0.0147752938687621
20,2017-09-01,127.7,125.71,125.21,0.0130096779311439,0.0141992739007663,0.0144211293850764,117.9656,0.0204363031787209
21,2017-10-01,128.5,127.62,127.4,0.0062646828504306,0.01519369978522,0.0174906157655141,119.4985,0.012994466183362
22,2017-11-01,131.95,129.61,129.03,0.0268482490272372,0.0155931672151701,0.0127943485086341,120.8941,0.0116788076837783
23,2017-12-01,135.71,131.03,129.86,0.0284956422887459,0.0109559447573488,0.0064326125707201,125.0392,0.0342870330313886
24,2018-01-01,136.57,132.48,131.46,0.0063370422223858,0.0110661680531174,0.0123209610349606,127.0147,0.0157990454193566
25,2018-02-01,138.19,133.59,132.44,0.0118620487662004,0.0083786231884059,0.0074547390841319,130.2913,0.0257970140464056
26,2018-03-01,140.7,136.14,135.01,0.0181633982198421,0.0190882551089153,0.0194050135910599,133.5028,0.0246486142973476
27,2018-04-01,144.0,139.81,138.77,0.023454157782516,0.0269575437050095,0.0278497889045257,136.938,0.0257312955233897
28,2018-05-01,142.73,141.93,141.74,-0.0088194444444444,0.0151634360918389,0.0214023203862505,139.58,0.0192934028538465
29,2018-06-01,141.02,143.14,143.67,-0.0119806627898828,0.0085253293877261,0.0136164808804852,145.0582,0.0392477432296889
30,2018-07-01,145.09,146.9,147.36,0.0288611544461778,0.0262679893810258,0.0256838588431824,149.1178,0.0279860083745695
31,2018-08-01,148.81,151.05,151.61,0.0256392583913434,0.0282505105513954,0.0288409337676438,155.1747,0.0406182226400873
32,2018-09-01,154.02,155.44,155.8,0.0350110879645184,0.0290632240979806,0.0276366994261592,165.4903,0.0664773316784244
33,2018-10-01,156.63,161.12,162.24,0.0169458511881572,0.0365414307771487,0.0413350449293965,173.8549,0.0505443521463191
34,2018-11-01,164.93,165.83,166.05,0.0529911255825832,0.0292328699106256,0.023483727810651,178.877,0.0288867325568622
35,2018-12-01,172.61,169.94,169.29,0.0465652094828108,0.0247844177772416,0.019512195121951,183.9381,0.0282937437457022
36,2019-01-01,177.16,175.19,174.7,0.0263600023173626,0.0308932564434505,0.0319569968692774,189.1236,0.0281915492222657
37,2019-02-01,181.72,179.84,179.37,0.0257394445698804,0.0265426108796165,0.0267315397824843,196.3597,0.0382612217618529
38,2019-03-01,186.59,186.94,187.04,0.0267994717147259,0.0394795373665479,0.0427607738194792,205.7679,0.0479130901096302
39,2019-04-01,188.85,191.11,191.67,0.0121121174768208,0.0223066224457046,0.0247540633019673,212.4469,0.032458901509905
40,2019-05-01,188.44,196.51,198.51,-0.0021710352131321,0.0282559782324314,0.0356863358898107,218.8793,0.0302776835058549
41,2019-06-01,188.78,200.44,203.34,0.0018042878369772,0.0199989822400896,0.0243312679461993,224.6105,0.0261842942662919
42,2019-07-01,195.49,209.9,213.49,0.0355440194935905,0.0471961684294552,0.0499163961837316,229.4286,0.0214509116893466
43,2019-08-01,200.52,215.02,218.63,0.0257302163793544,0.0243925678894711,0.0240760691367276,238.3069,0.038697442254366
44,2019-09-01,203.25,220.77,225.13,0.0136146020347096,0.0267416984466561,0.0297305950692952,252.1482,0.058081826417951
45,2019-10-01,207.5,227.92,233.0,0.0209102091020909,0.0323866467364224,0.0349575800648513,260.2101,0.0319728635778482
46,2019-11-01,212.21,233.32,238.57,0.0226987951807229,0.0236925236925236,0.0239055793991416,270.8019,0.0407047996983975
47,2019-12-01,223.54,239.44,243.4,0.0533905094010649,0.0262300702897309,0.0202456302133546,281.1775,0.038314354515238
48,2020-01-01,232.76,253.78,259.01,0.0412454146908831,0.0598897427330438,0.0641331142152834,286.4913,0.0188983826942057
49,2020-02-01,240.22,263.55,269.36,0.0320501804433752,0.0384979115769563,0.0399598471101503,291.737,0.0183101546190058
50,2020-03-01,248.53,271.58,277.31,0.034593289484639,0.0304686017833426,0.0295144045144044,302.2274,0.0359584145994507
51,2020-04-01,250.23,272.03,277.45,0.0068402204965194,0.0016569703218203,0.0005048501676823,306.4483,0.013965973965299
52,2020-05-01,248.98,271.84,277.54,-0.0049954042281101,-0.000698452376576,0.0003243827716707,311.0922,0.0151539427694653
53,2020-06-01,252.74,273.47,278.62,0.0151016145875171,0.0059961742201297,0.0038913309793182,317.4661,0.020488781139482
54,2020-07-01,263.49,278.37,282.07,0.0425338292316215,0.0179178703331259,0.0123824563922187,322.6791,0.0164206508978439
55,2020-08-01,273.32,283.92,286.56,0.0373069186686401,0.0199374932643603,0.0159180345304357,331.6957,0.0279429315378652
56,2020-09-01,279.69,291.02,293.84,0.0233060149275574,0.0250070442378134,0.0254048017867112,340.902,0.0277552588110125
57,2020-10-01,285.74,302.94,307.22,0.0216310915656621,0.0409593842347606,0.0455349850258646,353.0444,0.0356184475303753
58,2020-11-01,306.96,312.92,314.4,0.0742633163015327,0.0329438172575429,0.0233708742920382,363.5381,0.0297234568796445
59,2020-12-01,310.78,318.42,320.32,0.0124446181912951,0.017576377348843,0.0188295165394403,377.0507,0.0371696941806101
60,2021-01-01,318.42,328.84,331.43,0.0245833065190812,0.0327240751209094,0.0346840659340659,389.4454,0.0328727675084543
61,2021-02-01,327.43,343.06,346.94,0.028295961308963,0.0432429144872887,0.0467972120809823,403.4854,0.0360512667501016
62,2021-03-01,341.36,360.28,364.98,0.0425434444003298,0.0501953011135076,0.0519974635383639,424.4539,0.0519684231449264
63,2021-04-01,346.34,371.84,378.18,0.0145887040074992,0.0320861552126123,0.0361663652802892,441.8955,0.0410918594457492
64,2021-05-01,349.5,382.4,390.6,0.0091239822140094,0.0283993115318417,0.0328415040456926,456.7856,0.0336959756322479
65,2021-06-01,353.5,391.2,400.5,0.011444921316166,0.0230125523012552,0.0253456221198156,470.784,0.0306454494187207
66,2021-07-01,362.0,410.4,422.4,0.0240452616690241,0.0490797546012269,0.0546816479400749,485.3036,0.0308413200108754
67,2021-08-01,371.24,423.41,436.4,0.0255248618784531,0.0317007797270956,0.0331439393939394,497.9371,0.0260321580140761
68,2021-09-01,374.34,440.34,456.77,0.0083503932765864,0.0399848846271932,0.0466773602199817,517.0425,0.038369103246173
69,2021-10-01,395.51,458.07,473.64,0.0565528663781589,0.040264341190898,0.0369332486809554,536.5423,0.0377141144103239
70,2021-11-01,412.7,476.1,491.9,0.0434628707238755,0.0393607963848321,0.0385524871210201,548.7073,0.0226729560744791
71,2021-12-01,436.8,488.3,501.2,0.058395929246426,0.0256248687250577,0.0189062817645864,570.9981,0.0406242089361668
72,2022-01-01,447.9,506.7,521.3,0.0254120879120878,0.0376817530206838,0.0401037509976056,593.4219,0.0392712340023548
73,2022-02-01,457.6,522.6,538.7,0.0216566197812013,0.0313795145056245,0.0333780932284675,620.5007,0.0456316155504203
74,2022-03-01,483.2,561.2,580.7,0.0559440559440558,0.0738614619211635,0.0779654724336365,661.8688,0.0666689014210619
75,2022-04-01,517.5,589.0,606.8,0.0709850993377483,0.0495367070563077,0.0449457551231271,702.829,0.0618856788535733
76,2022-05-01,534.2,625.6,648.4,0.0322705314009663,0.06213921901528,0.0685563612392881,736.3637,0.0477138820395857
77,2022-06-01,558.71,655.94,680.14,0.0458816922500935,0.0484974424552431,0.0489512646514498,776.6701,0.0547370816893881
78,2022-07-01,575.31,692.32,721.44,0.0297112992428987,0.0554623898527304,0.0607227923662776,833.8894,0.0736725927778088
79,2022-08-01,606.44,737.46,770.07,0.0541099581095412,0.0652010630922117,0.0674068529607452,891.851,0.0695075390093697
80,2022-09-01,654.74,787.08,820.02,0.0796451421410195,0.0672850052884224,0.0648642331216642,945.6836,0.0603605310752579
81,2022-10-01,675.21,827.54,865.46,0.0312643186608425,0.051405193881181,0.0554132826028634,1007.6275,0.0655017174877519
82,2022-11-01,718.67,883.06,923.98,0.0643651604685948,0.0670904125480338,0.0676172208998682,1058.0026,0.0499937725002543
83,2022-12-01,,,,,,,1114.5359,0.0534339896707247
84,2023-01-01,,,,,,,1180.967,0.0596042711589639
